Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
6,Delitos contra la libertad sexual,2024-2,20,trimestre
7,Agresión sexual con penetración,2024-2,7,trimestre
8,Resto de delitos contra la libertad sexual,2024-2,13,trimestre
9,Robos con violencia e intimidación,2024-2,315,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2024-2,173,trimestre
11,Robos con fuerza en domicilios,2024-2,117,trimestre
12,Hurtos,2024-2,983,trimestre
13,Sustracciones de vehículos,2024-2,55,trimestre
14,Tráfico de drogas,2024-2,23,trimestre
15,Resto de criminalidad convencional,2024-2,1537,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2024-2,581,trimestre
17,Estafas informáticas,2024-2,542,trimestre
18,Otros ciberdelitos,2024-2,39,trimestre
19,TOTAL INFRACCIONES PENALES,2024-2,3726,trimestre
1,CRIMINALIDAD CONVENCIONAL,2024-3,3275,trimestre
2,Homicidios dolosos y asesinatos consumados,2024-3,1,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2024-3,6,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2024-3,53,trimestre
5,Secuestro,2024-3,0,trimestre
6,Delitos contra la libertad sexual,2024-3,34,trimestre
7,Agresión sexual con penetración,2024-3,19,trimestre
8,Resto de delitos contra la libertad sexual,2024-3,15,trimestre
9,Robos con violencia e intimidación,2024-3,321,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2024-3,198,trimestre
11,Robos con fuerza en domicilios,2024-3,169,trimestre
12,Hurtos,2024-3,953,trimestre
13,Sustracciones de vehículos,2024-3,68,trimestre
14,Tráfico de drogas,2024-3,19,trimestre
15,Resto de criminalidad convencional,2024-3,1622,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2024-3,528,trimestre
17,Estafas informáticas,2024-3,507,trimestre
18,Otros ciberdelitos,2024-3,21,trimestre
19,TOTAL INFRACCIONES PENALES,2024-3,3803,trimestre
