CODCCAA;CCAA;AÑO;POB
03;Asturias, Principado de;2019;1022800
15;Navarra, Comunidad Foral de;2019;654214
14;Murcia, Región de;2019;1493898
13;Madrid, Comunidad de;2019;6663394
17;Rioja, La;2019;316798
11;Extremadura;2019;1067710
04;Balears, Illes;2019;1149460
18;Ceuta;2019;84777
19;Melilla;2019;86487
02;Aragón;2020;1329391
07;Castilla y León;2020;2394918
16;País Vasco;2020;2220504
10;Comunitat Valenciana;2020;5057353
08;Castilla-La Mancha;2020;2045221
09;Cataluña;2020;7780479
01;Andalucía;2020;8464411
06;Cantabria;2020;582905
05;Canarias;2020;2175952
12;Galicia;2020;2701819
03;Asturias, Principado de;2020;1018784
15;Navarra, Comunidad Foral de;2020;661197
14;Murcia, Región de;2020;1511251
13;Madrid, Comunidad de;2020;6779888
17;Rioja, La;2020;319914
11;Extremadura;2020;1063987
04;Balears, Illes;2020;1171543
18;Ceuta;2020;84202
19;Melilla;2020;87076
02;Aragón;2021;1326261
07;Castilla y León;2021;2383139
16;País Vasco;2021;2213993
10;Comunitat Valenciana;2021;5058138
08;Castilla-La Mancha;2021;2049562
09;Cataluña;2021;7763362
01;Andalucía;2021;8472407
06;Cantabria;2021;584507
05;Canarias;2021;2172944
12;Galicia;2021;2695645
03;Asturias, Principado de;2021;1011792
15;Navarra, Comunidad Foral de;2021;661537
14;Murcia, Región de;2021;1518486
13;Madrid, Comunidad de;2021;6751251
17;Rioja, La;2021;319796
11;Extremadura;2021;1059501
04;Balears, Illes;2021;1173008
18;Ceuta;2021;83517
19;Melilla;2021;86261
02;Aragón;2022;1326315
07;Castilla y León;2022;2372640
16;País Vasco;2022;2208174
10;Comunitat Valenciana;2022;5097967
08;Castilla-La Mancha;2022;2053328
09;Cataluña;2022;7792611
01;Andalucía;2022;8500187
06;Cantabria;2022;585402
05;Canarias;2022;2177701
12;Galicia;2022;2690464
03;Asturias, Principado de;2022;1004686
15;Navarra, Comunidad Foral de;2022;664117
14;Murcia, Región de;2022;1531878
13;Madrid, Comunidad de;2022;6750336
17;Rioja, La;2022;319892
11;Extremadura;2022;1054776
04;Balears, Illes;2022;1176659
18;Ceuta;2022;83117
19;Melilla;2022;85170
02;Aragón;2023;1339727
07;Castilla y León;2023;2380149
16;País Vasco;2023;2219019
10;Comunitat Valenciana;2023;5210600
08;Castilla-La Mancha;2023;2078534
09;Cataluña;2023;7909125
01;Andalucía;2023;8568513
06;Cantabria;2023;588419
05;Canarias;2023;2202048
12;Galicia;2023;2696177
03;Asturias, Principado de;2023;1005283
15;Navarra, Comunidad Foral de;2023;671746
14;Murcia, Región de;2023;1552457
13;Madrid, Comunidad de;2023;6859914
17;Rioja, La;2023;322490
11;Extremadura;2023;1052523
04;Balears, Illes;2023;1197261
18;Ceuta;2023;83039
19;Melilla;2023;85491
02;Aragón;2024;1347834
07;Castilla y León;2024;2388350
16;País Vasco;2024;2230452
10;Comunitat Valenciana;2024;5316541
08;Castilla-La Mancha;2024;2098853
09;Cataluña;2024;8034743
01;Andalucía;2024;8619616
06;Cantabria;2024;591563
05;Canarias;2024;2228862
12;Galicia;2024;2703353
03;Asturias, Principado de;2024;1008028
15;Navarra, Comunidad Foral de;2024;678338
14;Murcia, Región de;2024;1571933
13;Madrid, Comunidad de;2024;7001715
17;Rioja, La;2024;324399
11;Extremadura;2024;1052790
04;Balears, Illes;2024;1221403
18;Ceuta;2024;83229
19;Melilla;2024;85811
