Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2017;27
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2018;40
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;48,1
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2017;116
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2018;78
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-32,8
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2017;1.436
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2018;1.329
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-7,5
ANDALUCÍA;4.-Secuestro;Enero-junio 2017;9
ANDALUCÍA;4.-Secuestro;Enero-junio 2018;13
ANDALUCÍA;4.-Secuestro;Variación % 2018/2017;44,4
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2017;1.033
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2018;1.168
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;13,1
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2017;78
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2018;94
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2018/2017;20,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2017;955
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2018;1.074
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;12,5
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2017;3.698
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2018;3.473
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2018/2017;-6,1
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2017;13.021
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2018;11.757
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-9,7
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2017;8.962
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2018;7.929
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-11,5
ANDALUCÍA;8.-Hurtos;Enero-junio 2017;51.669
