Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;60
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;47
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-21,7
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;111
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;190
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;71,2
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;2.558
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;2.315
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-9,5
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2019;26
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2020;18
ANDALUCÍA;4.-Secuestro;Variación % 2020/2019;-30,8
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;1.886
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;1.665
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-11,7
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;189
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2020;175
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2020/2019;-7,4
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;1.697
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;1.490
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-12,2
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2019;5.393
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2020;4.012
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2020/2019;-25,6
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;16.569
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;13.426
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-19,0
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;11.339
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;9.387
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-17,2
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2019;69.593
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2020;43.932
ANDALUCÍA;8.-Hurtos;Variación % 2020/2019;-36,9
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2019;4.967
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2020;3.719
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2020/2019;-25,1
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2019;3.308
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2020;3.456
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2020/2019;4,5
ANDALUCÍA;Resto de infracciones penales;Enero-septiembre 2019;150.751
ANDALUCÍA;Resto de infracciones penales;Enero-septiembre 2020;144.050
ANDALUCÍA;Resto de infracciones penales;Variación % 2020/2019;-4,4
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2019;255.222
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2020;216.830
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-15,0
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;7
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;4
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-42,9
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;8
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;14
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;75,0
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;261
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;235
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-10,0
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2019;3
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2020;2
Provincia de ALMERÍA;4.-Secuestro;Variación % 2020/2019;-33,3
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;209
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;199
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-4,8
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;25
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2020;25
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2020/2019;0,0
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;184
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;174
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-5,4
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2019;392
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2020;269
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2020/2019;-31,4
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;1.622
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;1.211
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-25,3
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;1.226
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;985
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-19,7
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2019;4.687
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2020;2.854
Provincia de ALMERÍA;8.-Hurtos;Variación % 2020/2019;-39,1
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-septiembre 2019;293
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-septiembre 2020;176
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Variación % 2020/2019;-39,9
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-septiembre 2019;341
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-septiembre 2020;373
Provincia de ALMERÍA;10.-Tráfico de drogas;Variación % 2020/2019;9,4
Provincia de ALMERÍA;Resto de infracciones penales;Enero-septiembre 2019;13.067
Provincia de ALMERÍA;Resto de infracciones penales;Enero-septiembre 2020;12.409
Provincia de ALMERÍA;Resto de infracciones penales;Variación % 2020/2019;-5,0
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2019;20.890
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2020;17.746
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-15,1
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;3
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;1
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-66,7
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;0
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;4
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;100,0
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;67
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;54
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-19,4
- Municipio de Almería;4.-Secuestro;Enero-septiembre 2019;0
- Municipio de Almería;4.-Secuestro;Enero-septiembre 2020;2
- Municipio de Almería;4.-Secuestro;Variación % 2020/2019;100,0
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;53
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;47
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-11,3
- Municipio de Almería;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;5
- Municipio de Almería;5.1.-Agresión sexual con penetración;Enero-septiembre 2020;7
- Municipio de Almería;5.1.-Agresión sexual con penetración;Variación % 2020/2019;40,0
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;48
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;40
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-16,7
- Municipio de Almería;6.-Robos con violencia e intimidación;Enero-septiembre 2019;110
- Municipio de Almería;6.-Robos con violencia e intimidación;Enero-septiembre 2020;92
- Municipio de Almería;6.-Robos con violencia e intimidación;Variación % 2020/2019;-16,4
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;289
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;160
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-44,6
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;209
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;113
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-45,9
- Municipio de Almería;8.-Hurtos;Enero-septiembre 2019;1.624
- Municipio de Almería;8.-Hurtos;Enero-septiembre 2020;1.007
- Municipio de Almería;8.-Hurtos;Variación % 2020/2019;-38,0
- Municipio de Almería;9.-Sustracciones de vehículos;Enero-septiembre 2019;136
- Municipio de Almería;9.-Sustracciones de vehículos;Enero-septiembre 2020;70
- Municipio de Almería;9.-Sustracciones de vehículos;Variación % 2020/2019;-48,5
- Municipio de Almería;10.-Tráfico de drogas;Enero-septiembre 2019;84
- Municipio de Almería;10.-Tráfico de drogas;Enero-septiembre 2020;141
- Municipio de Almería;10.-Tráfico de drogas;Variación % 2020/2019;67,9
- Municipio de Almería;Resto de infracciones penales;Enero-septiembre 2019;3.642
- Municipio de Almería;Resto de infracciones penales;Enero-septiembre 2020;3.361
- Municipio de Almería;Resto de infracciones penales;Variación % 2020/2019;-7,7
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Enero-septiembre 2019;6.008
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Enero-septiembre 2020;4.939
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-17,8
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;0
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;1
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;100,0
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;2
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;3
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;50,0
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;33
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;39
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;18,2
- Municipio de Ejido (El);4.-Secuestro;Enero-septiembre 2019;0
- Municipio de Ejido (El);4.-Secuestro;Enero-septiembre 2020;0
- Municipio de Ejido (El);4.-Secuestro;Variación % 2020/2019;0,0
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;23
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;27
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;17,4
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Enero-septiembre 2019;2
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Enero-septiembre 2020;1
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Variación % 2020/2019;-50,0
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;21
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;26
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;23,8
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Enero-septiembre 2019;60
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Enero-septiembre 2020;39
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Variación % 2020/2019;-35,0
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;212
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;148
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-30,2
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;131
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;107
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-18,3
- Municipio de Ejido (El);8.-Hurtos;Enero-septiembre 2019;487
- Municipio de Ejido (El);8.-Hurtos;Enero-septiembre 2020;405
- Municipio de Ejido (El);8.-Hurtos;Variación % 2020/2019;-16,8
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Enero-septiembre 2019;58
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Enero-septiembre 2020;22
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Variación % 2020/2019;-62,1
- Municipio de Ejido (El);10.-Tráfico de drogas;Enero-septiembre 2019;56
- Municipio de Ejido (El);10.-Tráfico de drogas;Enero-septiembre 2020;35
- Municipio de Ejido (El);10.-Tráfico de drogas;Variación % 2020/2019;-37,5
- Municipio de Ejido (El);Resto de infracciones penales;Enero-septiembre 2019;1.633
- Municipio de Ejido (El);Resto de infracciones penales;Enero-septiembre 2020;1.601
