Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;77.705
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;76.727
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2025/2024;-1,3
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;28
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;21
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2025/2024;-25,0
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;48
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;72
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2025/2024;50,0
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;1.169
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;1.201
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2025/2024;2,7
ANDALUCÍA;4. Secuestro;enero-marzo 2024;10
ANDALUCÍA;4. Secuestro;enero-marzo 2025;11
ANDALUCÍA;4. Secuestro;Variación % 2025/2024;10,0
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-marzo 2024;694
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-marzo 2025;662
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2025/2024;-4,6
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-marzo 2024;122
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-marzo 2025;138
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2025/2024;13,1
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;572
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;524
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2025/2024;-8,4
ANDALUCÍA;6. Robos con violencia e intimidación;enero-marzo 2024;1.823
ANDALUCÍA;6. Robos con violencia e intimidación;enero-marzo 2025;1.623
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2025/2024;-11,0
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;4.793
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;4.138
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2025/2024;-13,7
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-marzo 2024;3.297
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;2.755
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2025/2024;-16,4
ANDALUCÍA;8. Hurtos;enero-marzo 2024;21.365
ANDALUCÍA;8. Hurtos;enero-marzo 2025;20.614
ANDALUCÍA;8. Hurtos;Variación % 2025/2024;-3,5
ANDALUCÍA;9. Sustracciones de vehículos;enero-marzo 2024;1.527
ANDALUCÍA;9. Sustracciones de vehículos;enero-marzo 2025;1.449
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2025/2024;-5,1
ANDALUCÍA;10. Tráfico de drogas;enero-marzo 2024;1.048
ANDALUCÍA;10. Tráfico de drogas;enero-marzo 2025;1.019
ANDALUCÍA;10. Tráfico de drogas;Variación % 2025/2024;-2,8
