Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2016;49
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;40
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-18,4
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2016;165
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;175
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;6,1
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2016;2.237
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;2.274
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;1,7
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2016;11
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2017;14
ANDALUCÍA;4.-Secuestro;Variación % 2017/2016;27,3
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2016;1.417
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;1.584
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;11,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2016;136
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;131
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-3,7
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2016;1.281
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;1.453
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;13,4
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2016;5.644
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2017;5.754
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2017/2016;1,9
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2016;19.987
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;19.005
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2017/2016;-4,9
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2016;14.073
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;13.404
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2017/2016;-4,8
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2016;84.366
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2017;79.451
ANDALUCÍA;8.-Hurtos;Variación % 2017/2016;-5,8
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2016;6.562
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2017;6.766
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2017/2016;3,1
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2016;2.442
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2017;2.693
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2017/2016;10,3
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2016;252.388
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;253.837
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;0,6
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2016;5
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;3
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-40,0
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2016;11
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;11
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;0,0
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2016;278
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;240
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;-13,7
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2016;0
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2017;0
Provincia de ALMERÍA;4.-Secuestro;Variación % 2017/2016;0,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2016;138
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;155
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;12,3
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2016;19
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;14
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-26,3
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2016;119
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;141
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;18,5
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2016;491
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2017;426
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2017/2016;-13,2
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2016;2.512
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;2.131
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2017/2016;-15,2
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2016;2.066
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;1.739
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2017/2016;-15,8
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2016;6.156
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2017;5.897
Provincia de ALMERÍA;8.-Hurtos;Variación % 2017/2016;-4,2
