Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2020;30
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2021;29
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;-3,3
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2020;115
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2021;94
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;-18,3
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2020;1.354
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2021;1.535
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;13,4
ANDALUCÍA;4.-Secuestro;Enero-junio 2020;11
ANDALUCÍA;4.-Secuestro;Enero-junio 2021;11
ANDALUCÍA;4.-Secuestro;Variación % 2021/2020;0,0
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2020;1.004
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2021;1.330
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;32,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2020;101
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2021;141
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;39,6
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2020;903
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2021;1.189
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;31,7
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2020;2.368
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2021;2.545
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;7,5
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2020;8.289
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2021;7.458
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-10,0
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2020;5.724
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2021;5.113
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-10,7
ANDALUCÍA;8.-Hurtos;Enero-junio 2020;25.936
ANDALUCÍA;8.-Hurtos;Enero-junio 2021;29.541
