Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2015;258.032
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;252.684
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-2,1
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2015;48
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;49
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;2,1
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2015;5.423
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;5.686
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;4,8
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2015;13.571
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;13.945
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;2,8
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2015;6.669
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;6.600
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-1,0
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2015;2.469
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;2.444
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;-1,0
ANDALUCÍA;7.-DAÑOS;Enero-Septiembre 2015;25.514
ANDALUCÍA;7.-DAÑOS;Enero-Septiembre 2016;25.882
ANDALUCÍA;7.-DAÑOS;Variación % 2016/2015;1,4
ANDALUCÍA;8.-HURTOS;Enero-Septiembre 2015;84.504
ANDALUCÍA;8.-HURTOS;Enero-Septiembre 2016;84.445
ANDALUCÍA;8.-HURTOS;Variación % 2016/2015;-0,1
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2015;23.562
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;23.277
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-1,2
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2015;4
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;5
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;25,0
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2015;511
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;492
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-3,7
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2015;1.974
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;2.067
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;4,7
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2015;505
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;497
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-1,6
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2015;187
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;206
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;10,2
Provincia de ALMERÍA;7.-DAÑOS;Enero-Septiembre 2015;2.732
Provincia de ALMERÍA;7.-DAÑOS;Enero-Septiembre 2016;2.990
Provincia de ALMERÍA;7.-DAÑOS;Variación % 2016/2015;9,4
