Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;250.164
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2024;249.205
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,4
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;62
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2024;67
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;8,1
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;227
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2024;212
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-6,6
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;3.787
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2024;4.102
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;8,3
ANDALUCÍA;4. Secuestro;enero-septiembre 2023;28
ANDALUCÍA;4. Secuestro;enero-septiembre 2024;19
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-32,1
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2023;2.347
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2024;2.389
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;1,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2023;473
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2024;477
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;0,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;1.874
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2024;1.912
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;2,0
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2023;5.674
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2024;5.625
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;-0,9
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;15.115
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2024;13.910
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-8,0
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;10.433
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2024;9.861
