Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2018;16
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2019;15
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2019/2018;-6,3
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2018;32
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2019;31
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2019/2018;-3,1
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2018;651
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2019;725
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2019/2018;11,4
ANDALUCÍA;4.-Secuestro;Enero-marzo 2018;7
ANDALUCÍA;4.-Secuestro;Enero-marzo 2019;13
ANDALUCÍA;4.-Secuestro;Variación % 2019/2018;85,7
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;493
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2019;599
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;21,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2018;40
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2019;54
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2019/2018;35,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;453
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2019;545
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;20,3
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2018;1.687
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2019;1.740
