Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2022;242.369
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;250.502
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;3,4
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2022;58
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;62
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;6,9
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2022;208
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;226
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;8,7
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2022;3.677
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;3.862
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;5,0
ANDALUCÍA;4. Secuestro;enero-septiembre 2022;12
ANDALUCÍA;4. Secuestro;enero-septiembre 2023;29
ANDALUCÍA;4. Secuestro;Variación % 2023/2022;141,7
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2022;2.069
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-septiembre 2023;2.358
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2023/2022;14,0
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2022;387
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2023;474
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2023/2022;22,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2022;1.682
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;1.884
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;12,0
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2022;5.475
ANDALUCÍA;6. Robos con violencia e intimidación;enero-septiembre 2023;5.699
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2023/2022;4,1
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2022;14.196
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;15.087
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;6,3
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2022;10.137
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;10.412
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;2,7
ANDALUCÍA;8. Hurtos;enero-septiembre 2022;66.986
ANDALUCÍA;8. Hurtos;enero-septiembre 2023;72.221
ANDALUCÍA;8. Hurtos;Variación % 2023/2022;7,8
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2022;4.137
ANDALUCÍA;9. Sustracciones de vehículos;enero-septiembre 2023;4.456
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2023/2022;7,7
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2022;3.556
ANDALUCÍA;10. Tráfico de drogas;enero-septiembre 2023;3.529
ANDALUCÍA;10. Tráfico de drogas;Variación % 2023/2022;-0,8
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2022;141.995
ANDALUCÍA;11. Resto de criminalidad convencional;enero-septiembre 2023;142.973
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2023/2022;0,7
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2022;41.689
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;57.576
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2023/2022;38,1
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2022;35.975
ANDALUCÍA;12.-Estafas informáticas;enero-septiembre 2023;51.363
ANDALUCÍA;12.-Estafas informáticas;Variación % 2023/2022;42,8
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2022;5.714
ANDALUCÍA;13.-Otros ciberdelitos;enero-septiembre 2023;6.213
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2023/2022;8,7
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2022;284.058
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;308.078
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;8,5
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2022;19.978
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;21.448
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;7,4
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2022;8
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;6
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;-25,0
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2022;21
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;24
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;14,3
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2022;393
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;424
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;7,9
Provincia de ALMERÍA;4. Secuestro;enero-septiembre 2022;0
Provincia de ALMERÍA;4. Secuestro;enero-septiembre 2023;3
Provincia de ALMERÍA;4. Secuestro;Variación % 2023/2022;100,0
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero-septiembre 2022;210
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero-septiembre 2023;298
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;Variación % 2023/2022;41,9
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2022;45
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;enero-septiembre 2023;61
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2023/2022;35,6
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2022;165
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;237
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;43,6
Provincia de ALMERÍA;6. Robos con violencia e intimidación;enero-septiembre 2022;513
Provincia de ALMERÍA;6. Robos con violencia e intimidación;enero-septiembre 2023;494
Provincia de ALMERÍA;6. Robos con violencia e intimidación;Variación % 2023/2022;-3,7
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2022;1.476
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;1.453
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;-1,6
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2022;1.179
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;1.148
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;-2,6
Provincia de ALMERÍA;8. Hurtos;enero-septiembre 2022;4.196
Provincia de ALMERÍA;8. Hurtos;enero-septiembre 2023;4.891
Provincia de ALMERÍA;8. Hurtos;Variación % 2023/2022;16,6
Provincia de ALMERÍA;9. Sustracciones de vehículos;enero-septiembre 2022;243
Provincia de ALMERÍA;9. Sustracciones de vehículos;enero-septiembre 2023;268
Provincia de ALMERÍA;9. Sustracciones de vehículos;Variación % 2023/2022;10,3
Provincia de ALMERÍA;10. Tráfico de drogas;enero-septiembre 2022;419
Provincia de ALMERÍA;10. Tráfico de drogas;enero-septiembre 2023;338
Provincia de ALMERÍA;10. Tráfico de drogas;Variación % 2023/2022;-19,3
Provincia de ALMERÍA;11. Resto de criminalidad convencional;enero-septiembre 2022;12.499
Provincia de ALMERÍA;11. Resto de criminalidad convencional;enero-septiembre 2023;13.249
Provincia de ALMERÍA;11. Resto de criminalidad convencional;Variación % 2023/2022;6,0
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2022;2.563
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;3.558
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2023/2022;38,8
Provincia de ALMERÍA;12.-Estafas informáticas;enero-septiembre 2022;2.212
Provincia de ALMERÍA;12.-Estafas informáticas;enero-septiembre 2023;3.145
Provincia de ALMERÍA;12.-Estafas informáticas;Variación % 2023/2022;42,2
Provincia de ALMERÍA;13.-Otros ciberdelitos;enero-septiembre 2022;351
Provincia de ALMERÍA;13.-Otros ciberdelitos;enero-septiembre 2023;413
Provincia de ALMERÍA;13.-Otros ciberdelitos;Variación % 2023/2022;17,7
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2022;22.541
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;25.006
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;10,9
-Municipio de Adra;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2022;535
-Municipio de Adra;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;712
-Municipio de Adra;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;33,1
-Municipio de Adra;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2022;0
-Municipio de Adra;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;0
-Municipio de Adra;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;0,0
-Municipio de Adra;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2022;0
-Municipio de Adra;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;1
