Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2016;16
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;12
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-25,0
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2016;45
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;59
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;31,1
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2016;644
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2017;681
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;5,7
ANDALUCÍA;4.-Secuestro;Enero-marzo 2016;3
ANDALUCÍA;4.-Secuestro;Enero-marzo 2017;1
ANDALUCÍA;4.-Secuestro;Variación % 2017/2016;-66,7
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2016;416
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;516
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;24,0
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2016;36
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2017;33
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-8,3
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2016;380
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;483
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;27,1
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2016;1.835
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2017;1.952
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2017/2016;6,4
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2016;7.075
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2017;6.918
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2017/2016;-2,2
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2016;4.873
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2017;4.717
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2017/2016;-3,2
ANDALUCÍA;8.-Hurtos;Enero-marzo 2016;26.458
