Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;61
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2021;55
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;-9,8
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;237
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2021;219
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;-7,6
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;3.057
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2021;3.648
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;19,3
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2020;21
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2021;27
ANDALUCÍA;4.-Secuestro;Variación % 2021/2020;28,6
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;2.204
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2021;2.690
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;22,1
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;238
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2021;281
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;18,1
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;1.966
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2021;2.409
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;22,5
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2020;5.187
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2021;5.911
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;14,0
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;17.587
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2021;16.381
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-6,9
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;12.127
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2021;11.457
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-5,5
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2020;57.435
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2021;68.916
ANDALUCÍA;8.-Hurtos;Variación % 2021/2020;20,0
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2020;4.821
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2021;4.848
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2021/2020;0,6
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2020;4.679
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2021;4.816
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2021/2020;2,9
ANDALUCÍA;Resto de infracciones penales;Enero-diciembre 2020;192.305
ANDALUCÍA;Resto de infracciones penales;Enero-diciembre 2021;207.383
ANDALUCÍA;Resto de infracciones penales;Variación % 2021/2020;7,8
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;287.594
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2021;314.894
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2021/2020;9,5
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;6
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2021;8
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;33,3
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;20
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2021;21
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;5,0
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;317
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2021;408
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;28,7
Provincia de ALMERÍA;4.-Secuestro;Enero-diciembre 2020;5
Provincia de ALMERÍA;4.-Secuestro;Enero-diciembre 2021;2
Provincia de ALMERÍA;4.-Secuestro;Variación % 2021/2020;-60,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;266
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2021;273
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;2,6
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;40
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2021;47
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;17,5
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;226
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2021;226
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;0,0
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2020;386
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2021;534
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;38,3
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;1.617
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2021;1.686
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;4,3
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;1.323
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2021;1.322
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-0,1
Provincia de ALMERÍA;8.-Hurtos;Enero-diciembre 2020;3.723
Provincia de ALMERÍA;8.-Hurtos;Enero-diciembre 2021;4.548
Provincia de ALMERÍA;8.-Hurtos;Variación % 2021/2020;22,2
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-diciembre 2020;241
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-diciembre 2021;294
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Variación % 2021/2020;22,0
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-diciembre 2020;538
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-diciembre 2021;515
Provincia de ALMERÍA;10.-Tráfico de drogas;Variación % 2021/2020;-4,3
Provincia de ALMERÍA;Resto de infracciones penales;Enero-diciembre 2020;16.508
Provincia de ALMERÍA;Resto de infracciones penales;Enero-diciembre 2021;17.821
Provincia de ALMERÍA;Resto de infracciones penales;Variación % 2021/2020;8,0
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;23.627
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2021;26.110
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Variación % 2021/2020;10,5
-Municipio de Adra;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;0
-Municipio de Adra;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2021;0
