Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2022;74.769
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;79.848
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;6,8
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2022;14
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;22
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;57,1
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2022;57
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;66
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;15,8
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2022;994
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;1.072
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;7,8
ANDALUCÍA;4. Secuestro;Enero-marzo 2022;3
ANDALUCÍA;4. Secuestro;Enero-marzo 2023;12
ANDALUCÍA;4. Secuestro;Variación % 2023/2022;300,0
ANDALUCÍA;5. Delitos contra la libertad sexual;Enero-marzo 2022;590
ANDALUCÍA;5. Delitos contra la libertad sexual;Enero-marzo 2023;723
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2023/2022;22,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2022;118
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2023;127
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2023/2022;7,6
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2022;472
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;596
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;26,3
ANDALUCÍA;6. Robos con violencia e intimidación;Enero-marzo 2022;1.784
ANDALUCÍA;6. Robos con violencia e intimidación;Enero-marzo 2023;1.763
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2023/2022;-1,2
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2022;4.451
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;4.946
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;11,1
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2022;3.029
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;3.310
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;9,3
ANDALUCÍA;8. Hurtos;Enero-marzo 2022;20.236
ANDALUCÍA;8. Hurtos;Enero-marzo 2023;23.042
ANDALUCÍA;8. Hurtos;Variación % 2023/2022;13,9
ANDALUCÍA;9. Sustracciones de vehículos;Enero-marzo 2022;1.191
ANDALUCÍA;9. Sustracciones de vehículos;Enero-marzo 2023;1.355
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2023/2022;13,8
ANDALUCÍA;10. Tráfico de drogas;Enero-marzo 2022;1.139
ANDALUCÍA;10. Tráfico de drogas;Enero-marzo 2023;1.125
ANDALUCÍA;10. Tráfico de drogas;Variación % 2023/2022;-1,2
ANDALUCÍA;11. Resto de criminalidad convencional;Enero-marzo 2022;44.310
ANDALUCÍA;11. Resto de criminalidad convencional;Enero-marzo 2023;45.722
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2023/2022;3,2
