Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;38
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;54
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;42,1
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;169
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;134
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-20,7
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;2.260
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;2.198
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-2,7
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2017;13
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2018;21
ANDALUCÍA;4.-Secuestro;Variación % 2018/2017;61,5
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;1.572
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;1.812
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;15,3
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;134
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;154
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2018/2017;14,9
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;1.438
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;1.658
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;15,3
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2017;5.693
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2018;5.310
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2018/2017;-6,7
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;19.004
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;17.425
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-8,3
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;13.401
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;12.013
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-10,4
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2017;79.303
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2018;71.759
ANDALUCÍA;8.-Hurtos;Variación % 2018/2017;-9,5
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2017;6.753
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2018;5.228
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2018/2017;-22,6
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2017;2.691
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2018;2.858
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2018/2017;6,2
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;253.434
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;250.539
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2018/2017;-1,1
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;3
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;8
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;166,7
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;11
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;8
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-27,3
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;241
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;242
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;0,4
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2017;0
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2018;0
Provincia de ALMERÍA;4.-Secuestro;Variación % 2018/2017;0,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;155
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;164
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;5,8
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;14
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;18
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2018/2017;28,6
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;141
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;146
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;3,5
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2017;423
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2018;395
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2018/2017;-6,6
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;2.130
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;1.740
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-18,3
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;1.739
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;1.384
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-20,4
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2017;5.893
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2018;5.246
Provincia de ALMERÍA;8.-Hurtos;Variación % 2018/2017;-11,0
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-septiembre 2017;423
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-septiembre 2018;272
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Variación % 2018/2017;-35,7
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-septiembre 2017;214
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-septiembre 2018;264
Provincia de ALMERÍA;10.-Tráfico de drogas;Variación % 2018/2017;23,4
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;22.358
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;21.469
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Variación % 2018/2017;-4,0
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;1
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;2
- Municipio de Almería;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;100,0
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;8
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;2
- Municipio de Almería;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-75,0
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;68
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;67
- Municipio de Almería;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-1,5
- Municipio de Almería;4.-Secuestro;Enero-septiembre 2017;0
- Municipio de Almería;4.-Secuestro;Enero-septiembre 2018;0
- Municipio de Almería;4.-Secuestro;Variación % 2018/2017;0,0
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;39
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;45
- Municipio de Almería;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;15,4
- Municipio de Almería;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;2
- Municipio de Almería;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;4
- Municipio de Almería;5.1.-Agresión sexual con penetración;Variación % 2018/2017;100,0
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;37
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;41
- Municipio de Almería;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;10,8
- Municipio de Almería;6.-Robos con violencia e intimidación;Enero-septiembre 2017;175
- Municipio de Almería;6.-Robos con violencia e intimidación;Enero-septiembre 2018;151
- Municipio de Almería;6.-Robos con violencia e intimidación;Variación % 2018/2017;-13,7
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;356
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;374
- Municipio de Almería;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;5,1
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;264
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;291
- Municipio de Almería;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;10,2
- Municipio de Almería;8.-Hurtos;Enero-septiembre 2017;2.110
- Municipio de Almería;8.-Hurtos;Enero-septiembre 2018;1.847
- Municipio de Almería;8.-Hurtos;Variación % 2018/2017;-12,5
- Municipio de Almería;9.-Sustracciones de vehículos;Enero-septiembre 2017;173
- Municipio de Almería;9.-Sustracciones de vehículos;Enero-septiembre 2018;125
- Municipio de Almería;9.-Sustracciones de vehículos;Variación % 2018/2017;-27,7
- Municipio de Almería;10.-Tráfico de drogas;Enero-septiembre 2017;49
- Municipio de Almería;10.-Tráfico de drogas;Enero-septiembre 2018;91
- Municipio de Almería;10.-Tráfico de drogas;Variación % 2018/2017;85,7
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;6.817
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;6.252
- Municipio de Almería;TOTAL INFRACCIONES PENALES;Variación % 2018/2017;-8,3
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;1
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;2
- Municipio de Ejido (El);1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;100,0
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;1
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;1
- Municipio de Ejido (El);2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;0,0
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;47
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;44
- Municipio de Ejido (El);3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-6,4
- Municipio de Ejido (El);4.-Secuestro;Enero-septiembre 2017;0
- Municipio de Ejido (El);4.-Secuestro;Enero-septiembre 2018;0
- Municipio de Ejido (El);4.-Secuestro;Variación % 2018/2017;0,0
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;22
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;23
- Municipio de Ejido (El);5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;4,5
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Enero-septiembre 2017;2
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Enero-septiembre 2018;3
- Municipio de Ejido (El);5.1.-Agresión sexual con penetración;Variación % 2018/2017;50,0
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;20
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;20
- Municipio de Ejido (El);5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;0,0
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Enero-septiembre 2017;53
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Enero-septiembre 2018;49
- Municipio de Ejido (El);6.-Robos con violencia e intimidación;Variación % 2018/2017;-7,5
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;209
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;261
- Municipio de Ejido (El);7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;24,9
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;155
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;185
- Municipio de Ejido (El);7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;19,4
- Municipio de Ejido (El);8.-Hurtos;Enero-septiembre 2017;633
- Municipio de Ejido (El);8.-Hurtos;Enero-septiembre 2018;591
- Municipio de Ejido (El);8.-Hurtos;Variación % 2018/2017;-6,6
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Enero-septiembre 2017;46
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Enero-septiembre 2018;29
- Municipio de Ejido (El);9.-Sustracciones de vehículos;Variación % 2018/2017;-37,0
- Municipio de Ejido (El);10.-Tráfico de drogas;Enero-septiembre 2017;30
- Municipio de Ejido (El);10.-Tráfico de drogas;Enero-septiembre 2018;40
- Municipio de Ejido (El);10.-Tráfico de drogas;Variación % 2018/2017;33,3
- Municipio de Ejido (El);TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;2.780
- Municipio de Ejido (El);TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;2.842
- Municipio de Ejido (El);TOTAL INFRACCIONES PENALES;Variación % 2018/2017;2,2
- Municipio de Roquetas de Mar;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;0
- Municipio de Roquetas de Mar;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;1
- Municipio de Roquetas de Mar;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;100,0
- Municipio de Roquetas de Mar;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;0
- Municipio de Roquetas de Mar;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;0
- Municipio de Roquetas de Mar;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;0,0
- Municipio de Roquetas de Mar;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;41
- Municipio de Roquetas de Mar;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;35
- Municipio de Roquetas de Mar;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-14,6
- Municipio de Roquetas de Mar;4.-Secuestro;Enero-septiembre 2017;0
- Municipio de Roquetas de Mar;4.-Secuestro;Enero-septiembre 2018;0
- Municipio de Roquetas de Mar;4.-Secuestro;Variación % 2018/2017;0,0
- Municipio de Roquetas de Mar;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;27
- Municipio de Roquetas de Mar;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;27
- Municipio de Roquetas de Mar;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;0,0
- Municipio de Roquetas de Mar;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;4
- Municipio de Roquetas de Mar;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;3
- Municipio de Roquetas de Mar;5.1.-Agresión sexual con penetración;Variación % 2018/2017;-25,0
- Municipio de Roquetas de Mar;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;23
- Municipio de Roquetas de Mar;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;24
- Municipio de Roquetas de Mar;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;4,3
- Municipio de Roquetas de Mar;6.-Robos con violencia e intimidación;Enero-septiembre 2017;103
- Municipio de Roquetas de Mar;6.-Robos con violencia e intimidación;Enero-septiembre 2018;100
- Municipio de Roquetas de Mar;6.-Robos con violencia e intimidación;Variación % 2018/2017;-2,9
- Municipio de Roquetas de Mar;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;461
- Municipio de Roquetas de Mar;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;277
- Municipio de Roquetas de Mar;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-39,9
- Municipio de Roquetas de Mar;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2017;413
- Municipio de Roquetas de Mar;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;218
- Municipio de Roquetas de Mar;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-47,2
- Municipio de Roquetas de Mar;8.-Hurtos;Enero-septiembre 2017;1.335
- Municipio de Roquetas de Mar;8.-Hurtos;Enero-septiembre 2018;1.276
- Municipio de Roquetas de Mar;8.-Hurtos;Variación % 2018/2017;-4,4
- Municipio de Roquetas de Mar;9.-Sustracciones de vehículos;Enero-septiembre 2017;66
- Municipio de Roquetas de Mar;9.-Sustracciones de vehículos;Enero-septiembre 2018;46
- Municipio de Roquetas de Mar;9.-Sustracciones de vehículos;Variación % 2018/2017;-30,3
- Municipio de Roquetas de Mar;10.-Tráfico de drogas;Enero-septiembre 2017;32
- Municipio de Roquetas de Mar;10.-Tráfico de drogas;Enero-septiembre 2018;47
- Municipio de Roquetas de Mar;10.-Tráfico de drogas;Variación % 2018/2017;46,9
- Municipio de Roquetas de Mar;TOTAL INFRACCIONES PENALES;Enero-septiembre 2017;4.474
- Municipio de Roquetas de Mar;TOTAL INFRACCIONES PENALES;Enero-septiembre 2018;4.529
- Municipio de Roquetas de Mar;TOTAL INFRACCIONES PENALES;Variación % 2018/2017;1,2
Provincia de CÁDIZ;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2017;5
Provincia de CÁDIZ;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;4
Provincia de CÁDIZ;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;-20,0
Provincia de CÁDIZ;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2017;40
Provincia de CÁDIZ;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;30
Provincia de CÁDIZ;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-25,0
Provincia de CÁDIZ;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2017;412
Provincia de CÁDIZ;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;404
Provincia de CÁDIZ;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-1,9
Provincia de CÁDIZ;4.-Secuestro;Enero-septiembre 2017;5
Provincia de CÁDIZ;4.-Secuestro;Enero-septiembre 2018;8
Provincia de CÁDIZ;4.-Secuestro;Variación % 2018/2017;60,0
Provincia de CÁDIZ;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;225
Provincia de CÁDIZ;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;260
Provincia de CÁDIZ;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;15,6
Provincia de CÁDIZ;5.1.-Agresión sexual con penetración;Enero-septiembre 2017;18
Provincia de CÁDIZ;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;23
Provincia de CÁDIZ;5.1.-Agresión sexual con penetración;Variación % 2018/2017;27,8
Provincia de CÁDIZ;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2017;207
Provincia de CÁDIZ;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;237
Provincia de CÁDIZ;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;14,5
Provincia de CÁDIZ;6.-Robos con violencia e intimidación;Enero-septiembre 2017;649
Provincia de CÁDIZ;6.-Robos con violencia e intimidación;Enero-septiembre 2018;624
Provincia de CÁDIZ;6.-Robos con violencia e intimidación;Variación % 2018/2017;-3,9
Provincia de CÁDIZ;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2017;2.287
Provincia de CÁDIZ;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;2.261
Provincia de CÁDIZ;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-1,1
