Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2022;156.177
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;163.980
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;5,0
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2022;38
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;43
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;13,2
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2022;127
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;133
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;4,7
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2022;2.259
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;2.429
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;7,5
ANDALUCÍA;4. Secuestro;Enero-junio 2022;8
ANDALUCÍA;4. Secuestro;Enero-junio 2023;22
ANDALUCÍA;4. Secuestro;Variación % 2023/2022;175,0
ANDALUCÍA;5. Delitos contra la libertad sexual;Enero-junio 2022;1.348
ANDALUCÍA;5. Delitos contra la libertad sexual;Enero-junio 2023;1.571
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2023/2022;16,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2022;257
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2023;298
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2023/2022;16,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2022;1.091
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;1.273
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;16,7
ANDALUCÍA;6. Robos con violencia e intimidación;Enero-junio 2022;3.533
ANDALUCÍA;6. Robos con violencia e intimidación;Enero-junio 2023;3.624
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2023/2022;2,6
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2022;9.265
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;9.650
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;4,2
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2022;6.457
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;6.508
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;0,8
ANDALUCÍA;8. Hurtos;Enero-junio 2022;42.910
ANDALUCÍA;8. Hurtos;Enero-junio 2023;47.228
ANDALUCÍA;8. Hurtos;Variación % 2023/2022;10,1
ANDALUCÍA;9. Sustracciones de vehículos;Enero-junio 2022;2.617
