Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2023;163.691
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-junio 2024;163.003
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,4
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-junio 2023;43
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-junio 2024;50
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;16,3
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2023;133
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-junio 2024;116
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-12,8
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2023;2.428
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-junio 2024;2.606
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;7,3
ANDALUCÍA;4. Secuestro;enero-junio 2023;20
ANDALUCÍA;4. Secuestro;enero-junio 2024;15
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-25,0
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-junio 2023;1.561
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-junio 2024;1.506
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;-3,5
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-junio 2023;299
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-junio 2024;293
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-2,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2023;1.262
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-junio 2024;1.213
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-3,9
ANDALUCÍA;6. Robos con violencia e intimidación;enero-junio 2023;3.600
ANDALUCÍA;6. Robos con violencia e intimidación;enero-junio 2024;3.738
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;3,8
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2023;9.681
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-junio 2024;9.213
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-4,8
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-junio 2023;6.532
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-junio 2024;6.347
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-2,8
ANDALUCÍA;8. Hurtos;enero-junio 2023;47.163
ANDALUCÍA;8. Hurtos;enero-junio 2024;45.725
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-3,0
ANDALUCÍA;9. Sustracciones de vehículos;enero-junio 2023;2.909
ANDALUCÍA;9. Sustracciones de vehículos;enero-junio 2024;2.964
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;1,9
ANDALUCÍA;10. Tráfico de drogas;enero-junio 2023;2.528
ANDALUCÍA;10. Tráfico de drogas;enero-junio 2024;2.300
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-9,0
ANDALUCÍA;11. Resto de criminalidad convencional;enero-junio 2023;93.625
ANDALUCÍA;11. Resto de criminalidad convencional;enero-junio 2024;94.770
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;1,2
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2023;36.145
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-junio 2024;41.455
