Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2016;24
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2017;28
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;16,7
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2016;112
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2017;122
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;8,9
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2016;1.361
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2017;1.448
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;6,4
ANDALUCÍA;4.-Secuestro;Enero-junio 2016;7
ANDALUCÍA;4.-Secuestro;Enero-junio 2017;10
ANDALUCÍA;4.-Secuestro;Variación % 2017/2016;42,9
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2016;926
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2017;1.046
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;13,0
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2016;79
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2017;77
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-2,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2016;847
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2017;969
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;14,4
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2016;3.727
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2017;3.745
