Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;337.124
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;332.194
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-1,5
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2015;65
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;68
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;4,6
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2015;7.283
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;7.479
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;2,7
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2015;17.798
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;18.239
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;2,5
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2015;9.008
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;8.877
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-1,5
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2015;3.086
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;3.142
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;1,8
ANDALUCÍA;7.-DAÑOS;Enero-Diciembre 2015;33.579
ANDALUCÍA;7.-DAÑOS;Enero-Diciembre 2016;34.510
ANDALUCÍA;7.-DAÑOS;Variación % 2016/2015;2,8
ANDALUCÍA;8.-HURTOS;Enero-Diciembre 2015;110.768
ANDALUCÍA;8.-HURTOS;Enero-Diciembre 2016;109.588
ANDALUCÍA;8.-HURTOS;Variación % 2016/2015;-1,1
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;30.639
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;30.650
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;0,0
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2015;7
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;6
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;-14,3
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2015;697
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;693
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-0,6
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2015;2.646
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;2.739
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;3,5
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2015;702
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;660
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-6,0
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2015;240
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;234
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;-2,5
Provincia de ALMERÍA;7.-DAÑOS;Enero-Diciembre 2015;3.603
Provincia de ALMERÍA;7.-DAÑOS;Enero-Diciembre 2016;3.897
Provincia de ALMERÍA;7.-DAÑOS;Variación % 2016/2015;8,2
Provincia de ALMERÍA;8.-HURTOS;Enero-Diciembre 2015;8.330
Provincia de ALMERÍA;8.-HURTOS;Enero-Diciembre 2016;8.014
Provincia de ALMERÍA;8.-HURTOS;Variación % 2016/2015;-3,8
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;9.357
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2016;8.938
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-4,5
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2015;1
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Diciembre 2016;0
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;-100,0
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2015;321
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Diciembre 2016;298
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-7,2
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2015;558
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Diciembre 2016;443
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-20,6
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2015;278
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Diciembre 2016;290
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;4,3
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2015;58
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Enero-Diciembre 2016;67
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;15,5
- Municipio de Almería;7.-DAÑOS;Enero-Diciembre 2015;1.080
- Municipio de Almería;7.-DAÑOS;Enero-Diciembre 2016;1.163
- Municipio de Almería;7.-DAÑOS;Variación % 2016/2015;7,7
- Municipio de Almería;8.-HURTOS;Enero-Diciembre 2015;2.924
- Municipio de Almería;8.-HURTOS;Enero-Diciembre 2016;2.716
- Municipio de Almería;8.-HURTOS;Variación % 2016/2015;-7,1
- Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);Enero-Diciembre 2015;5.733
