Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero--diciembre 2023;331.854
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;328.139
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-1,1
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero--diciembre 2023;71
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;80
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;12,7
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero--diciembre 2023;292
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;266
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-8,9
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero--diciembre 2023;5.021
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;5.498
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;9,5
ANDALUCÍA;4. Secuestro;enero--diciembre 2023;34
ANDALUCÍA;4. Secuestro;enero-diciembre 2024;27
ANDALUCÍA;4. Secuestro;Variación % 2024/2023;-20,6
ANDALUCÍA;5. Delitos contra la libertad sexual;enero--diciembre 2023;3.066
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-diciembre 2024;3.155
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;2,9
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero--diciembre 2023;602
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2024;625
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;3,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero--diciembre 2023;2.464
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;2.530
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;2,7
ANDALUCÍA;6. Robos con violencia e intimidación;enero--diciembre 2023;7.676
ANDALUCÍA;6. Robos con violencia e intimidación;enero-diciembre 2024;7.423
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;-3,3
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero--diciembre 2023;20.294
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;18.231
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-10,2
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero--diciembre 2023;14.101
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;12.790
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-9,3
ANDALUCÍA;8. Hurtos;enero--diciembre 2023;95.492
ANDALUCÍA;8. Hurtos;enero-diciembre 2024;92.545
ANDALUCÍA;8. Hurtos;Variación % 2024/2023;-3,1
ANDALUCÍA;9. Sustracciones de vehículos;enero--diciembre 2023;5.957
ANDALUCÍA;9. Sustracciones de vehículos;enero-diciembre 2024;6.075
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2024/2023;2,0
ANDALUCÍA;10. Tráfico de drogas;enero--diciembre 2023;4.790
ANDALUCÍA;10. Tráfico de drogas;enero-diciembre 2024;4.343
ANDALUCÍA;10. Tráfico de drogas;Variación % 2024/2023;-9,3
ANDALUCÍA;11. Resto de criminalidad convencional;enero--diciembre 2023;189.161
ANDALUCÍA;11. Resto de criminalidad convencional;enero-diciembre 2024;190.496
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;0,7
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero--diciembre 2023;81.327
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;81.559
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;0,3
ANDALUCÍA;12.-Estafas informáticas;enero--diciembre 2023;72.795
ANDALUCÍA;12.-Estafas informáticas;enero-diciembre 2024;71.327
ANDALUCÍA;12.-Estafas informáticas;Variación % 2024/2023;-2,0
ANDALUCÍA;13.-Otros ciberdelitos;enero--diciembre 2023;8.532
ANDALUCÍA;13.-Otros ciberdelitos;enero-diciembre 2024;10.232
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2024/2023;19,9
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero--diciembre 2023;413.181
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;409.698
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;-0,8
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero--diciembre 2023;28.314
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;28.209
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-0,4
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero--diciembre 2023;8
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;16
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;100,0
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero--diciembre 2023;29
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;19
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-34,5
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero--diciembre 2023;540
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;582
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;7,8
Provincia de ALMERÍA;4. Secuestro;enero--diciembre 2023;3
Provincia de ALMERÍA;4. Secuestro;enero-diciembre 2024;2
Provincia de ALMERÍA;4. Secuestro;Variación % 2024/2023;-33,3
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero--diciembre 2023;360
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero-diciembre 2024;315
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;Variación % 2024/2023;-12,5
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;enero--diciembre 2023;78
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2024;66
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-15,4
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;enero--diciembre 2023;282
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;249
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-11,7
Provincia de ALMERÍA;6. Robos con violencia e intimidación;enero--diciembre 2023;657
Provincia de ALMERÍA;6. Robos con violencia e intimidación;enero-diciembre 2024;737
Provincia de ALMERÍA;6. Robos con violencia e intimidación;Variación % 2024/2023;12,2
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero--diciembre 2023;2.019
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;1.491
Provincia de ALMERÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-26,2
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;enero--diciembre 2023;1.602
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;1.151
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-28,2
Provincia de ALMERÍA;8. Hurtos;enero--diciembre 2023;6.437
Provincia de ALMERÍA;8. Hurtos;enero-diciembre 2024;6.631
Provincia de ALMERÍA;8. Hurtos;Variación % 2024/2023;3,0
Provincia de ALMERÍA;9. Sustracciones de vehículos;enero--diciembre 2023;349
Provincia de ALMERÍA;9. Sustracciones de vehículos;enero-diciembre 2024;341
Provincia de ALMERÍA;9. Sustracciones de vehículos;Variación % 2024/2023;-2,3
Provincia de ALMERÍA;10. Tráfico de drogas;enero--diciembre 2023;467
Provincia de ALMERÍA;10. Tráfico de drogas;enero-diciembre 2024;467
Provincia de ALMERÍA;10. Tráfico de drogas;Variación % 2024/2023;0,0
Provincia de ALMERÍA;11. Resto de criminalidad convencional;enero--diciembre 2023;17.445
Provincia de ALMERÍA;11. Resto de criminalidad convencional;enero-diciembre 2024;17.608
Provincia de ALMERÍA;11. Resto de criminalidad convencional;Variación % 2024/2023;0,9
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero--diciembre 2023;4.977
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;5.915
Provincia de ALMERÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;18,8
Provincia de ALMERÍA;12.-Estafas informáticas;enero--diciembre 2023;4.414
Provincia de ALMERÍA;12.-Estafas informáticas;enero-diciembre 2024;5.222
Provincia de ALMERÍA;12.-Estafas informáticas;Variación % 2024/2023;18,3
Provincia de ALMERÍA;13.-Otros ciberdelitos;enero--diciembre 2023;563
Provincia de ALMERÍA;13.-Otros ciberdelitos;enero-diciembre 2024;693
Provincia de ALMERÍA;13.-Otros ciberdelitos;Variación % 2024/2023;23,1
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;enero--diciembre 2023;33.291
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;34.124
Provincia de ALMERÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;2,5
04003 Adra;I. CRIMINALIDAD CONVENCIONAL;enero--diciembre 2023;953
04003 Adra;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;1.010
04003 Adra;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;6,0
04003 Adra;1. Homicidios dolosos y asesinatos consumados;enero--diciembre 2023;0
04003 Adra;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;0
04003 Adra;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;0,0
04003 Adra;2. Homicidios dolosos y asesinatos en grado tentativa;enero--diciembre 2023;1
04003 Adra;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;0
04003 Adra;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-100,0
04003 Adra;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero--diciembre 2023;11
04003 Adra;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;15
04003 Adra;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;36,4
04003 Adra;4. Secuestro;enero--diciembre 2023;1
04003 Adra;4. Secuestro;enero-diciembre 2024;0
04003 Adra;4. Secuestro;Variación % 2024/2023;-100,0
04003 Adra;5. Delitos contra la libertad sexual;enero--diciembre 2023;9
04003 Adra;5. Delitos contra la libertad sexual;enero-diciembre 2024;9
04003 Adra;5. Delitos contra la libertad sexual;Variación % 2024/2023;0,0
04003 Adra;5.1.-Agresión sexual con penetración;enero--diciembre 2023;3
04003 Adra;5.1.-Agresión sexual con penetración;enero-diciembre 2024;2
04003 Adra;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-33,3
04003 Adra;5.2.-Resto de delitos contra la libertad sexual;enero--diciembre 2023;6
04003 Adra;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;7
04003 Adra;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;16,7
04003 Adra;6. Robos con violencia e intimidación;enero--diciembre 2023;19
04003 Adra;6. Robos con violencia e intimidación;enero-diciembre 2024;9
04003 Adra;6. Robos con violencia e intimidación;Variación % 2024/2023;-52,6
04003 Adra;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero--diciembre 2023;73
04003 Adra;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;41
04003 Adra;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-43,8
04003 Adra;7.1.-Robos con fuerza en domicilios;enero--diciembre 2023;62
04003 Adra;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;32
04003 Adra;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-48,4
04003 Adra;8. Hurtos;enero--diciembre 2023;216
04003 Adra;8. Hurtos;enero-diciembre 2024;262
04003 Adra;8. Hurtos;Variación % 2024/2023;21,3
04003 Adra;9. Sustracciones de vehículos;enero--diciembre 2023;7
04003 Adra;9. Sustracciones de vehículos;enero-diciembre 2024;9
04003 Adra;9. Sustracciones de vehículos;Variación % 2024/2023;28,6
04003 Adra;10. Tráfico de drogas;enero--diciembre 2023;12
04003 Adra;10. Tráfico de drogas;enero-diciembre 2024;16
04003 Adra;10. Tráfico de drogas;Variación % 2024/2023;33,3
04003 Adra;11. Resto de criminalidad convencional;enero--diciembre 2023;604
04003 Adra;11. Resto de criminalidad convencional;enero-diciembre 2024;649
04003 Adra;11. Resto de criminalidad convencional;Variación % 2024/2023;7,5
04003 Adra;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero--diciembre 2023;140
04003 Adra;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;139
04003 Adra;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;-0,7
04003 Adra;12.-Estafas informáticas;enero--diciembre 2023;114
04003 Adra;12.-Estafas informáticas;enero-diciembre 2024;115
04003 Adra;12.-Estafas informáticas;Variación % 2024/2023;0,9
04003 Adra;13.-Otros ciberdelitos;enero--diciembre 2023;26
04003 Adra;13.-Otros ciberdelitos;enero-diciembre 2024;24
04003 Adra;13.-Otros ciberdelitos;Variación % 2024/2023;-7,7
04003 Adra;III. TOTAL INFRACCIONES PENALES;enero--diciembre 2023;1.093
04003 Adra;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;1.149
04003 Adra;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;5,1
04013 Almería;I. CRIMINALIDAD CONVENCIONAL;enero--diciembre 2023;7.463
04013 Almería;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;7.922
04013 Almería;I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;6,2
04013 Almería;1. Homicidios dolosos y asesinatos consumados;enero--diciembre 2023;1
04013 Almería;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;5
04013 Almería;1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;400,0
04013 Almería;2. Homicidios dolosos y asesinatos en grado tentativa;enero--diciembre 2023;13
04013 Almería;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;3
04013 Almería;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-76,9
04013 Almería;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero--diciembre 2023;114
04013 Almería;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;133
04013 Almería;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;16,7
04013 Almería;4. Secuestro;enero--diciembre 2023;1
04013 Almería;4. Secuestro;enero-diciembre 2024;1
04013 Almería;4. Secuestro;Variación % 2024/2023;0,0
04013 Almería;5. Delitos contra la libertad sexual;enero--diciembre 2023;97
04013 Almería;5. Delitos contra la libertad sexual;enero-diciembre 2024;88
04013 Almería;5. Delitos contra la libertad sexual;Variación % 2024/2023;-9,3
04013 Almería;5.1.-Agresión sexual con penetración;enero--diciembre 2023;21
04013 Almería;5.1.-Agresión sexual con penetración;enero-diciembre 2024;18
04013 Almería;5.1.-Agresión sexual con penetración;Variación % 2024/2023;-14,3
04013 Almería;5.2.-Resto de delitos contra la libertad sexual;enero--diciembre 2023;76
04013 Almería;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;70
04013 Almería;5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,9
04013 Almería;6. Robos con violencia e intimidación;enero--diciembre 2023;245
04013 Almería;6. Robos con violencia e intimidación;enero-diciembre 2024;287
04013 Almería;6. Robos con violencia e intimidación;Variación % 2024/2023;17,1
04013 Almería;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero--diciembre 2023;327
04013 Almería;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;276
04013 Almería;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-15,6
04013 Almería;7.1.-Robos con fuerza en domicilios;enero--diciembre 2023;252
04013 Almería;7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;205
04013 Almería;7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-18,7
04013 Almería;8. Hurtos;enero--diciembre 2023;2.144
04013 Almería;8. Hurtos;enero-diciembre 2024;2.503
04013 Almería;8. Hurtos;Variación % 2024/2023;16,7
04013 Almería;9. Sustracciones de vehículos;enero--diciembre 2023;143
04013 Almería;9. Sustracciones de vehículos;enero-diciembre 2024;139
04013 Almería;9. Sustracciones de vehículos;Variación % 2024/2023;-2,8
04013 Almería;10. Tráfico de drogas;enero--diciembre 2023;193
04013 Almería;10. Tráfico de drogas;enero-diciembre 2024;181
04013 Almería;10. Tráfico de drogas;Variación % 2024/2023;-6,2
04013 Almería;11. Resto de criminalidad convencional;enero--diciembre 2023;4.185
04013 Almería;11. Resto de criminalidad convencional;enero-diciembre 2024;4.306
04013 Almería;11. Resto de criminalidad convencional;Variación % 2024/2023;2,9
04013 Almería;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero--diciembre 2023;1.611
04013 Almería;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2024;1.945
04013 Almería;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2024/2023;20,7
04013 Almería;12.-Estafas informáticas;enero--diciembre 2023;1.480
04013 Almería;12.-Estafas informáticas;enero-diciembre 2024;1.786
04013 Almería;12.-Estafas informáticas;Variación % 2024/2023;20,7
04013 Almería;13.-Otros ciberdelitos;enero--diciembre 2023;131
04013 Almería;13.-Otros ciberdelitos;enero-diciembre 2024;159
04013 Almería;13.-Otros ciberdelitos;Variación % 2024/2023;21,4
04013 Almería;III. TOTAL INFRACCIONES PENALES;enero--diciembre 2023;9.074
04013 Almería;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2024;9.867
04013 Almería;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;8,7
04902 Ejido (El);I. CRIMINALIDAD CONVENCIONAL;enero--diciembre 2023;3.785
04902 Ejido (El);I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2024;3.595
04902 Ejido (El);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;-5,0
04902 Ejido (El);1. Homicidios dolosos y asesinatos consumados;enero--diciembre 2023;3
04902 Ejido (El);1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2024;0
04902 Ejido (El);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-100,0
04902 Ejido (El);2. Homicidios dolosos y asesinatos en grado tentativa;enero--diciembre 2023;5
04902 Ejido (El);2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2024;2
04902 Ejido (El);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;-60,0
04902 Ejido (El);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero--diciembre 2023;93
04902 Ejido (El);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2024;80
04902 Ejido (El);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;-14,0
04902 Ejido (El);4. Secuestro;enero--diciembre 2023;0
04902 Ejido (El);4. Secuestro;enero-diciembre 2024;0
04902 Ejido (El);4. Secuestro;Variación % 2024/2023;0,0
04902 Ejido (El);5. Delitos contra la libertad sexual;enero--diciembre 2023;40
04902 Ejido (El);5. Delitos contra la libertad sexual;enero-diciembre 2024;39
04902 Ejido (El);5. Delitos contra la libertad sexual;Variación % 2024/2023;-2,5
04902 Ejido (El);5.1.-Agresión sexual con penetración;enero--diciembre 2023;13
04902 Ejido (El);5.1.-Agresión sexual con penetración;enero-diciembre 2024;5
04902 Ejido (El);5.1.-Agresión sexual con penetración;Variación % 2024/2023;-61,5
04902 Ejido (El);5.2.-Resto de delitos contra la libertad sexual;enero--diciembre 2023;27
04902 Ejido (El);5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2024;34
04902 Ejido (El);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;25,9
04902 Ejido (El);6. Robos con violencia e intimidación;enero--diciembre 2023;62
04902 Ejido (El);6. Robos con violencia e intimidación;enero-diciembre 2024;71
04902 Ejido (El);6. Robos con violencia e intimidación;Variación % 2024/2023;14,5
04902 Ejido (El);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero--diciembre 2023;225
04902 Ejido (El);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2024;115
04902 Ejido (El);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-48,9
04902 Ejido (El);7.1.-Robos con fuerza en domicilios;enero--diciembre 2023;165
04902 Ejido (El);7.1.-Robos con fuerza en domicilios;enero-diciembre 2024;81
04902 Ejido (El);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-50,9
04902 Ejido (El);8. Hurtos;enero--diciembre 2023;796
04902 Ejido (El);8. Hurtos;enero-diciembre 2024;737
04902 Ejido (El);8. Hurtos;Variación % 2024/2023;-7,4
04902 Ejido (El);9. Sustracciones de vehículos;enero--diciembre 2023;47
04902 Ejido (El);9. Sustracciones de vehículos;enero-diciembre 2024;43
04902 Ejido (El);9. Sustracciones de vehículos;Variación % 2024/2023;-8,5
04902 Ejido (El);10. Tráfico de drogas;enero--diciembre 2023;80
04902 Ejido (El);10. Tráfico de drogas;enero-diciembre 2024;65
04902 Ejido (El);10. Tráfico de drogas;Variación % 2024/2023;-18,8
