Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;48
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;43
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;-10,4
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;189
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;162
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;-14,3
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;2.316
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;2.601
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;12,3
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2020;17
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2021;18
ANDALUCÍA;4.-Secuestro;Variación % 2021/2020;5,9
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;1.654
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;2.012
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;21,6
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2020;173
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;212
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;22,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;1.481
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;1.800
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;21,5
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2020;3.992
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2021;4.097
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;2,6
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;13.432
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2021;12.029
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-10,4
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;9.388
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2021;8.468
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-9,8
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2020;43.806
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2021;49.288
ANDALUCÍA;8.-Hurtos;Variación % 2021/2020;12,5
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2020;3.610
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2021;3.656
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2021/2020;1,3
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2020;3.446
ANDALUCÍA;10.-Tráfico de drogas;Enero-septiembre 2021;3.676
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2021/2020;6,7
ANDALUCÍA;Resto de infracciones penales;Enero-septiembre 2020;143.454
ANDALUCÍA;Resto de infracciones penales;Enero-septiembre 2021;152.989
ANDALUCÍA;Resto de infracciones penales;Variación % 2021/2020;6,6
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2020;215.964
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-septiembre 2021;230.571
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2021/2020;6,8
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2020;4
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;6
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;50,0
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2020;14
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;17
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;21,4
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2020;235
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;300
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;27,7
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2020;2
Provincia de ALMERÍA;4.-Secuestro;Enero-septiembre 2021;2
Provincia de ALMERÍA;4.-Secuestro;Variación % 2021/2020;0,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;198
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;201
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;1,5
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2020;25
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;35
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;40,0
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2020;173
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;166
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;-4,0
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2020;271
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2021;380
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;40,2
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2020;1.210
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2021;1.185
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-2,1
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2020;984
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2021;946
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-3,9
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2020;2.853
Provincia de ALMERÍA;8.-Hurtos;Enero-septiembre 2021;3.274
