Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;49
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2018;72
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;46,9
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;207
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2018;190
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-8,2
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;2.930
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2018;2.917
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-0,4
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2017;15
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2018;26
ANDALUCÍA;4.-Secuestro;Variación % 2018/2017;73,3
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;2.064
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2018;2.348
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;13,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;173
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2018;201
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2018/2017;16,2
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;1.891
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2018;2.147
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;13,5
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2017;7.668
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2018;7.153
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2018/2017;-6,7
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;24.718
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2018;23.032
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-6,8
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;17.276
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2018;15.710
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-9,1
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2017;103.746
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2018;93.290
ANDALUCÍA;8.-Hurtos;Variación % 2018/2017;-10,1
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2017;8.755
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2018;6.934
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2018/2017;-20,8
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2017;3.472
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2018;3.656
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2018/2017;5,3
