Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2019;82
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;60
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-26,8
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2019;156
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;238
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;52,6
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2019;3.474
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;3.054
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-12,1
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2019;31
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2020;23
ANDALUCÍA;4.-Secuestro;Variación % 2020/2019;-25,8
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2019;2.510
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;2.215
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-11,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2019;258
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;240
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2020/2019;-7,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2019;2.252
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;1.975
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-12,3
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2019;7.302
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2020;5.208
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2020/2019;-28,7
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2019;22.452
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;17.567
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-21,8
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2019;15.349
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;12.118
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-21,1
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2019;91.298
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2020;57.570
ANDALUCÍA;8.-Hurtos;Variación % 2020/2019;-36,9
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2019;6.511
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2020;4.947
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2020/2019;-24,0
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2019;4.366
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2020;4.683
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2020/2019;7,3
ANDALUCÍA;Resto de infracciones penales;Enero-diciembre 2019;201.139
ANDALUCÍA;Resto de infracciones penales;Enero-diciembre 2020;192.929
ANDALUCÍA;Resto de infracciones penales;Variación % 2020/2019;-4,1
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2019;339.321
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;288.494
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-15,0
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2019;9
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;6
