Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;18
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2021;16
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;-11,1
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;49
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2021;43
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;-12,2
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;769
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2021;658
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;-14,4
ANDALUCÍA;4.-Secuestro;Enero-marzo 2020;6
ANDALUCÍA;4.-Secuestro;Enero-marzo 2021;2
ANDALUCÍA;4.-Secuestro;Variación % 2021/2020;-66,7
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;529
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2021;581
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;9,8
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2020;57
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2021;56
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;-1,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;472
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2021;525
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;11,2
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2020;1.579
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2021;1.186
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;-24,9
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;5.202
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2021;3.658
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-29,7
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;3.471
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2021;2.486
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-28,4
ANDALUCÍA;8.-Hurtos;Enero-marzo 2020;18.071
ANDALUCÍA;8.-Hurtos;Enero-marzo 2021;13.180
ANDALUCÍA;8.-Hurtos;Variación % 2021/2020;-27,1
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-marzo 2020;1.340
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-marzo 2021;984
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2021/2020;-26,6
ANDALUCÍA;10.-Tráfico de drogas;Enero-marzo 2020;1.040
ANDALUCÍA;10.-Tráfico de drogas;Enero-marzo 2021;1.126
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2021/2020;8,3
ANDALUCÍA;Resto de infracciones penales;Enero-marzo 2020;47.519
ANDALUCÍA;Resto de infracciones penales;Enero-marzo 2021;48.493
ANDALUCÍA;Resto de infracciones penales;Variación % 2021/2020;2,0
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;76.122
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2021;69.927
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2021/2020;-8,1
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;3
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2021;2
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;-33,3
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;3
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2021;4
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;33,3
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;74
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2021;66
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;-10,8
Provincia de ALMERÍA;4.-Secuestro;Enero-marzo 2020;0
Provincia de ALMERÍA;4.-Secuestro;Enero-marzo 2021;0
Provincia de ALMERÍA;4.-Secuestro;Variación % 2021/2020;0,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;54
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2021;56
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;3,7
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2020;8
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2021;11
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Variación % 2021/2020;37,5
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;46
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2021;45
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;-2,2
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-marzo 2020;104
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-marzo 2021;79
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Variación % 2021/2020;-24,0
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;452
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2021;341
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2021/2020;-24,6
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;349
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2021;266
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Variación % 2021/2020;-23,8
Provincia de ALMERÍA;8.-Hurtos;Enero-marzo 2020;1.109
Provincia de ALMERÍA;8.-Hurtos;Enero-marzo 2021;816
Provincia de ALMERÍA;8.-Hurtos;Variación % 2021/2020;-26,4
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-marzo 2020;63
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-marzo 2021;42
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Variación % 2021/2020;-33,3
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-marzo 2020;112
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-marzo 2021;122
Provincia de ALMERÍA;10.-Tráfico de drogas;Variación % 2021/2020;8,9
Provincia de ALMERÍA;Resto de infracciones penales;Enero-marzo 2020;3.848
Provincia de ALMERÍA;Resto de infracciones penales;Enero-marzo 2021;4.169
Provincia de ALMERÍA;Resto de infracciones penales;Variación % 2021/2020;8,3
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;5.822
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2021;5.697
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Variación % 2021/2020;-2,1
-Municipio de Adra;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
-Municipio de Adra;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2021;0
-Municipio de Adra;1.-Homicidios dolosos y asesinatos consumados;Variación % 2021/2020;0,0
-Municipio de Adra;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;0
-Municipio de Adra;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2021;0
-Municipio de Adra;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2021/2020;0,0
-Municipio de Adra;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;7
-Municipio de Adra;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2021;4
-Municipio de Adra;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2021/2020;-42,9
-Municipio de Adra;4.-Secuestro;Enero-marzo 2020;0
-Municipio de Adra;4.-Secuestro;Enero-marzo 2021;0
-Municipio de Adra;4.-Secuestro;Variación % 2021/2020;0,0
-Municipio de Adra;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;0
-Municipio de Adra;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2021;1
-Municipio de Adra;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2021/2020;100,0
-Municipio de Adra;5.1.-Agresión sexual con penetración;Enero-marzo 2020;0
-Municipio de Adra;5.1.-Agresión sexual con penetración;Enero-marzo 2021;0
