Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-junio 2015;172.783
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-junio 2016;165.350
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-4,3
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2015;34
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2016;24
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;-29,4
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-junio 2015;3.561
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-junio 2016;3.758
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;5,5
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-junio 2015;9.223
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-junio 2016;9.229
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;0,1
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-junio 2015;4.320
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-junio 2016;4.213
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-2,5
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-junio 2015;1.639
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-junio 2016;1.520
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;-7,3
ANDALUCÍA;7.-DAÑOS;Enero-junio 2015;17.299
ANDALUCÍA;7.-DAÑOS;Enero-junio 2016;16.848
ANDALUCÍA;7.-DAÑOS;Variación % 2016/2015;-2,6
ANDALUCÍA;8.-HURTOS;Enero-junio 2015;55.892
ANDALUCÍA;8.-HURTOS;Enero-junio 2016;55.141
ANDALUCÍA;8.-HURTOS;Variación % 2016/2015;-1,3
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-junio 2015;15.271
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-junio 2016;15.168
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-0,7
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2015;4
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2016;5
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;25,0
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-junio 2015;330
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-junio 2016;327
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-0,9
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-junio 2015;1.354
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-junio 2016;1.359
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;0,4
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-junio 2015;298
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-junio 2016;338
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;13,4
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-junio 2015;98
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-junio 2016;110
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;12,2
Provincia de ALMERÍA;7.-DAÑOS;Enero-junio 2015;1.802
Provincia de ALMERÍA;7.-DAÑOS;Enero-junio 2016;1.990
Provincia de ALMERÍA;7.-DAÑOS;Variación % 2016/2015;10,4
Provincia de ALMERÍA;8.-HURTOS;Enero-junio 2015;4.038
Provincia de ALMERÍA;8.-HURTOS;Enero-junio 2016;3.911
Provincia de ALMERÍA;8.-HURTOS;Variación % 2016/2015;-3,1
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-junio 2015;4.611
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-junio 2016;4.371
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-5,2
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2015;0
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-junio 2016;0
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;0,0
