Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2022;322.225
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;332.242
ANDALUCÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;3,1
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2022;74
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;71
ANDALUCÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;-4,1
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2022;284
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;291
ANDALUCÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;2,5
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2022;4.855
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;5.142
ANDALUCÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;5,9
ANDALUCÍA;4. Secuestro;enero-diciembre 2022;21
ANDALUCÍA;4. Secuestro;enero-diciembre 2023;35
ANDALUCÍA;4. Secuestro;Variación % 2023/2022;66,7
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-diciembre 2022;2.659
ANDALUCÍA;5. Delitos contra la libertad sexual;enero-diciembre 2023;3.062
ANDALUCÍA;5. Delitos contra la libertad sexual;Variación % 2023/2022;15,2
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2022;512
ANDALUCÍA;5.1.-Agresión sexual con penetración;enero-diciembre 2023;603
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2023/2022;17,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2022;2.147
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;enero-diciembre 2023;2.459
ANDALUCÍA;5.2.-Resto de delitos contra la libertad sexual;Variación % 2023/2022;14,5
ANDALUCÍA;6. Robos con violencia e intimidación;enero-diciembre 2022;7.335
ANDALUCÍA;6. Robos con violencia e intimidación;enero-diciembre 2023;7.705
ANDALUCÍA;6. Robos con violencia e intimidación;Variación % 2023/2022;5,0
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2022;18.819
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-diciembre 2023;20.266
ANDALUCÍA;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2023/2022;7,7
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2022;13.281
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;enero-diciembre 2023;14.081
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2023/2022;6,0
ANDALUCÍA;8. Hurtos;enero-diciembre 2022;89.038
ANDALUCÍA;8. Hurtos;enero-diciembre 2023;95.607
ANDALUCÍA;8. Hurtos;Variación % 2023/2022;7,4
ANDALUCÍA;9. Sustracciones de vehículos;enero-diciembre 2022;5.578
ANDALUCÍA;9. Sustracciones de vehículos;enero-diciembre 2023;5.965
ANDALUCÍA;9. Sustracciones de vehículos;Variación % 2023/2022;6,9
ANDALUCÍA;10. Tráfico de drogas;enero-diciembre 2022;4.616
ANDALUCÍA;10. Tráfico de drogas;enero-diciembre 2023;4.782
ANDALUCÍA;10. Tráfico de drogas;Variación % 2023/2022;3,6
ANDALUCÍA;11. Resto de criminalidad convencional;enero-diciembre 2022;188.946
ANDALUCÍA;11. Resto de criminalidad convencional;enero-diciembre 2023;189.316
ANDALUCÍA;11. Resto de criminalidad convencional;Variación % 2023/2022;0,2
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2022;56.908
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-diciembre 2023;81.251
ANDALUCÍA;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Variación % 2023/2022;42,8
ANDALUCÍA;12.-Estafas informáticas;enero-diciembre 2022;49.323
ANDALUCÍA;12.-Estafas informáticas;enero-diciembre 2023;72.784
ANDALUCÍA;12.-Estafas informáticas;Variación % 2023/2022;47,6
ANDALUCÍA;13.-Otros ciberdelitos;enero-diciembre 2022;7.585
ANDALUCÍA;13.-Otros ciberdelitos;enero-diciembre 2023;8.467
ANDALUCÍA;13.-Otros ciberdelitos;Variación % 2023/2022;11,6
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2022;379.133
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;enero-diciembre 2023;413.493
ANDALUCÍA;III. TOTAL INFRACCIONES PENALES;Variación % 2023/2022;9,1
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2022;26.428
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;enero-diciembre 2023;28.375
Provincia de ALMERÍA;I. CRIMINALIDAD CONVENCIONAL;Variación % 2023/2022;7,4
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2022;9
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;enero-diciembre 2023;8
Provincia de ALMERÍA;1. Homicidios dolosos y asesinatos consumados;Variación % 2023/2022;-11,1
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2022;29
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;enero-diciembre 2023;30
Provincia de ALMERÍA;2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2023/2022;3,4
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2022;514
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-diciembre 2023;544
Provincia de ALMERÍA;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2023/2022;5,8
Provincia de ALMERÍA;4. Secuestro;enero-diciembre 2022;1
Provincia de ALMERÍA;4. Secuestro;enero-diciembre 2023;3
Provincia de ALMERÍA;4. Secuestro;Variación % 2023/2022;200,0
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero-diciembre 2022;287
Provincia de ALMERÍA;5. Delitos contra la libertad sexual;enero-diciembre 2023;363
