Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2021;43
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;58
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2022/2021;34,9
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2021;162
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;207
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2022/2021;27,8
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2021;2.605
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;3.668
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2022/2021;40,8
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2021;18
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2022;13
ANDALUCÍA;4.-Secuestro;Variación % 2022/2021;-27,8
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;2.011
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;2.401
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2022/2021;19,4
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2021;213
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;257
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2022/2021;20,7
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2021;1.798
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;2.144
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2022/2021;19,2
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2021;4.090
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2022;5.496
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2022/2021;34,4
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2021;12.027
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;14.117
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2022/2021;17,4
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2021;8.491
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;10.102
