Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2018;54
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2019;59
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2019/2018;9,3
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2018;135
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2019;113
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2019/2018;-16,3
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2018;2.211
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2019;2.547
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2019/2018;15,2
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2018;21
ANDALUCÍA;4.-Secuestro;Enero-septiembre 2019;26
ANDALUCÍA;4.-Secuestro;Variación % 2019/2018;23,8
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;1.803
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;1.891
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;4,9
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2018;152
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-septiembre 2019;192
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2019/2018;26,3
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2018;1.651
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2019;1.699
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;2,9
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2018;5.250
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-septiembre 2019;5.424
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2019/2018;3,3
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2018;17.514
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2019;16.572
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2019/2018;-5,4
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2018;12.066
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2019;11.340
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2019/2018;-6,0
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2018;71.950
ANDALUCÍA;8.-Hurtos;Enero-septiembre 2019;69.661
ANDALUCÍA;8.-Hurtos;Variación % 2019/2018;-3,2
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-septiembre 2018;5.180
