Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;12
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2018;16
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;33,3
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;55
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2018;32
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-41,8
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2017;679
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2018;644
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;-5,2
ANDALUCÍA;4.-Secuestro;Enero-marzo 2017;1
ANDALUCÍA;4.-Secuestro;Enero-marzo 2018;7
ANDALUCÍA;4.-Secuestro;Variación % 2018/2017;600,0
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;509
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;499
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;-2,0
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2017;35
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-marzo 2018;41
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2018/2017;17,1
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;474
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2018;458
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2018/2017;-3,4
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2017;1.922
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-marzo 2018;1.717
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2018/2017;-10,7
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2017;6.927
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2018;6.285
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2018/2017;-9,3
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2017;4.724
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-marzo 2018;4.229
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2018/2017;-10,5
ANDALUCÍA;8.-Hurtos;Enero-marzo 2017;25.149
ANDALUCÍA;8.-Hurtos;Enero-marzo 2018;22.364
ANDALUCÍA;8.-Hurtos;Variación % 2018/2017;-11,1
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-marzo 2017;2.270
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-marzo 2018;1.783
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2018/2017;-21,5
ANDALUCÍA;10.-Tráfico de drogas;Enero-marzo 2017;833
ANDALUCÍA;10.-Tráfico de drogas;Enero-marzo 2018;836
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2018/2017;0,4
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2017;83.097
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-marzo 2018;78.377
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2018/2017;-5,7
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2017;2
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2018;3
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2018/2017;50,0
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2017;5
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2018;1
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2018/2017;-80,0
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2017;70
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2018;78
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2018/2017;11,4
Provincia de ALMERÍA;4.-Secuestro;Enero-marzo 2017;0
Provincia de ALMERÍA;4.-Secuestro;Enero-marzo 2018;0
Provincia de ALMERÍA;4.-Secuestro;Variación % 2018/2017;0,0
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2017;57
