Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2018;40
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2019;33
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2019/2018;-17,5
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2018;78
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2019;72
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2019/2018;-7,7
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2018;1.340
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2019;1.493
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2019/2018;11,4
ANDALUCÍA;4.-Secuestro;Enero-junio 2018;13
ANDALUCÍA;4.-Secuestro;Enero-junio 2019;24
ANDALUCÍA;4.-Secuestro;Variación % 2019/2018;84,6
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2018;1.158
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2019;1.218
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;5,2
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2018;92
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2019;113
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2019/2018;22,8
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2018;1.066
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2019;1.105
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2019/2018;3,7
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2018;3.421
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2019;3.554
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2019/2018;3,9
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2018;11.840
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2019;11.042
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2019/2018;-6,7
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2018;7.980
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2019;7.338
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2019/2018;-8,0
ANDALUCÍA;8.-Hurtos;Enero-junio 2018;47.009
ANDALUCÍA;8.-Hurtos;Enero-junio 2019;44.775
ANDALUCÍA;8.-Hurtos;Variación % 2019/2018;-4,8
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2018;3.390
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2019;3.342
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2019/2018;-1,4
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2018;1.847
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2019;2.029
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2019/2018;9,9
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2018;93.940
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2019;98.113
ANDALUCÍA;Resto de infracciones penales;Variación % 2019/2018;4,4
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2018;164.076
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2019;165.695
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2019/2018;1,0
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2018;7
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2019;4
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2019/2018;-42,9
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2018;7
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2019;5
