Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2019;34
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2020;29
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;-14,7
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2019;71
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2020;116
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2020/2019;63,4
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2019;1.499
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2020;1.355
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2020/2019;-9,6
ANDALUCÍA;4.-Secuestro;Enero-junio 2019;24
ANDALUCÍA;4.-Secuestro;Enero-junio 2020;12
ANDALUCÍA;4.-Secuestro;Variación % 2020/2019;-50,0
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2019;1.214
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-junio 2020;1.009
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-16,9
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2019;111
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-junio 2020;101
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2020/2019;-9,0
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2019;1.103
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-junio 2020;908
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2020/2019;-17,7
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2019;3.528
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-junio 2020;2.377
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2020/2019;-32,6
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2019;11.037
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2020;8.286
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2020/2019;-24,9
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2019;7.333
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-junio 2020;5.728
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2020/2019;-21,9
ANDALUCÍA;8.-Hurtos;Enero-junio 2019;44.712
ANDALUCÍA;8.-Hurtos;Enero-junio 2020;26.014
ANDALUCÍA;8.-Hurtos;Variación % 2020/2019;-41,8
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2019;3.324
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-junio 2020;2.144
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2020/2019;-35,5
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2019;2.088
ANDALUCÍA;10.-Tráfico de drogas;Enero-junio 2020;2.142
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2020/2019;2,6
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2019;97.789
ANDALUCÍA;Resto de infracciones penales;Enero-junio 2020;88.785
ANDALUCÍA;Resto de infracciones penales;Variación % 2020/2019;-9,2
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2019;165.320
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-junio 2020;132.269
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2020/2019;-20,0
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2019;4
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-junio 2020;4
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2020/2019;0,0
