Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;85.396
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;80.611
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-5,6
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;14
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;16
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;14,3
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;1.799
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;1.838
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;2,2
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;4.890
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;4.833
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-1,2
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;2.181
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;2.091
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-4,1
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2015;760
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;683
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;-10,1
ANDALUCÍA;7.-DAÑOS;Enero-marzo 2015;8.804
ANDALUCÍA;7.-DAÑOS;Enero-marzo 2016;8.593
ANDALUCÍA;7.-DAÑOS;Variación % 2016/2015;-2,4
ANDALUCÍA;8.-HURTOS;Enero-marzo 2015;27.375
ANDALUCÍA;8.-HURTOS;Enero-marzo 2016;26.466
ANDALUCÍA;8.-HURTOS;Variación % 2016/2015;-3,3
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;7.504
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;7.664
Provincia de ALMERÍA;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;2,1
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;2
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;4
Provincia de ALMERÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;100,0
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;177
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;164
Provincia de ALMERÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-7,3
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;726
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;769
Provincia de ALMERÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;5,9
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;132
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;191
Provincia de ALMERÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;44,7
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2015;32
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;43
Provincia de ALMERÍA;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;34,4
Provincia de ALMERÍA;7.-DAÑOS;Enero-marzo 2015;862
Provincia de ALMERÍA;7.-DAÑOS;Enero-marzo 2016;1.057
Provincia de ALMERÍA;7.-DAÑOS;Variación % 2016/2015;22,6
Provincia de ALMERÍA;8.-HURTOS;Enero-marzo 2015;2.011
Provincia de ALMERÍA;8.-HURTOS;Enero-marzo 2016;1.886
Provincia de ALMERÍA;8.-HURTOS;Variación % 2016/2015;-6,2
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;2.268
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;2.284
- Municipio de Almería;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;0,7
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;0
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;0,0
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;79
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;54
- Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-31,6
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;148
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;144
- Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-2,7
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;49
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;99
- Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;102,0
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2015;13
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;15
- Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;15,4
- Municipio de Almería;7.-DAÑOS;Enero-marzo 2015;256
- Municipio de Almería;7.-DAÑOS;Enero-marzo 2016;310
- Municipio de Almería;7.-DAÑOS;Variación % 2016/2015;21,1
- Municipio de Almería;8.-HURTOS;Enero-marzo 2015;763
- Municipio de Almería;8.-HURTOS;Enero-marzo 2016;673
- Municipio de Almería;8.-HURTOS;Variación % 2016/2015;-11,8
- Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;1.429
- Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;1.505
- Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;5,3
- Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;0
- Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
- Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;0,0
- Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;42
- Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;55
- Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;31,0
- Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;155
- Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;130
- Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-16,1
- Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;24
- Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;23
- Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;-4,2
- Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2015;3
- Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;9
- Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;200,0
- Municipio de Roquetas de Mar;7.-DAÑOS;Enero-marzo 2015;159
- Municipio de Roquetas de Mar;7.-DAÑOS;Enero-marzo 2016;205
- Municipio de Roquetas de Mar;7.-DAÑOS;Variación % 2016/2015;28,9
- Municipio de Roquetas de Mar;8.-HURTOS;Enero-marzo 2015;393
- Municipio de Roquetas de Mar;8.-HURTOS;Enero-marzo 2016;428
- Municipio de Roquetas de Mar;8.-HURTOS;Variación % 2016/2015;8,9
- Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;959
- Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;980
- Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;2,2
- Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;1
- Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;1
- Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;0,0
- Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;30
- Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;19
- Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;-36,7
- Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;53
- Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;94
- Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;77,4
- Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;8
- Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;10
- Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Variación % 2016/2015;25,0
- Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2015;3
- Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);Enero-marzo 2016;3
- Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);Variación % 2016/2015;0,0
- Municipio de Ejido (El);7.-DAÑOS;Enero-marzo 2015;107
- Municipio de Ejido (El);7.-DAÑOS;Enero-marzo 2016;159
- Municipio de Ejido (El);7.-DAÑOS;Variación % 2016/2015;48,6
- Municipio de Ejido (El);8.-HURTOS;Enero-marzo 2015;242
- Municipio de Ejido (El);8.-HURTOS;Enero-marzo 2016;229
- Municipio de Ejido (El);8.-HURTOS;Variación % 2016/2015;-5,4
Provincia de CÁDIZ;1.-DELITOS Y FALTAS (EU);Enero-marzo 2015;12.763
Provincia de CÁDIZ;1.-DELITOS Y FALTAS (EU);Enero-marzo 2016;12.070
Provincia de CÁDIZ;1.-DELITOS Y FALTAS (EU);Variación % 2016/2015;-5,4
Provincia de CÁDIZ;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2015;3
Provincia de CÁDIZ;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-marzo 2016;0
Provincia de CÁDIZ;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Variación % 2016/2015;-100,0
Provincia de CÁDIZ;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2015;188
Provincia de CÁDIZ;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-marzo 2016;217
Provincia de CÁDIZ;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Variación % 2016/2015;15,4
Provincia de CÁDIZ;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2015;728
Provincia de CÁDIZ;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-marzo 2016;586
Provincia de CÁDIZ;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Variación % 2016/2015;-19,5
Provincia de CÁDIZ;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2015;408
Provincia de CÁDIZ;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-marzo 2016;366
