Geografía;Tipología penal;Periodos:;Total
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;68
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;49
ANDALUCÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-27,9
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2016;227
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;207
ANDALUCÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Variación % 2017/2016;-8,8
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2016;2.911
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2017;2.930
ANDALUCÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2017/2016;0,7
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2016;16
ANDALUCÍA;4.-Secuestro;Enero-diciembre 2017;15
ANDALUCÍA;4.-Secuestro;Variación % 2017/2016;-6,3
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2016;1.837
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;2.064
ANDALUCÍA;5.-Delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;12,4
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2016;185
ANDALUCÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2017;173
ANDALUCÍA;5.1.-Agresión sexual con penetración;Variación % 2017/2016;-6,5
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2016;1.652
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2017;1.891
ANDALUCÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Variación % 2017/2016;14,5
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2016;7.431
ANDALUCÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2017;7.668
ANDALUCÍA;6.-Robos con violencia e intimidación;Variación % 2017/2016;3,2
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2016;26.332
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2017;24.718
ANDALUCÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2017/2016;-6,1
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2016;18.367
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2017;17.276
ANDALUCÍA;7.1.-Robos con fuerza en domicilios;Variación % 2017/2016;-5,9
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2016;109.491
ANDALUCÍA;8.-Hurtos;Enero-diciembre 2017;103.746
ANDALUCÍA;8.-Hurtos;Variación % 2017/2016;-5,2
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2016;8.835
ANDALUCÍA;9.-Sustracciones de vehículos;Enero-diciembre 2017;8.755
ANDALUCÍA;9.-Sustracciones de vehículos;Variación % 2017/2016;-0,9
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2016;3.143
ANDALUCÍA;10.-Tráfico de drogas;Enero-diciembre 2017;3.472
ANDALUCÍA;10.-Tráfico de drogas;Variación % 2017/2016;10,5
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2016;331.836
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2017;334.331
ANDALUCÍA;TOTAL INFRACCIONES PENALES;Variación % 2017/2016;0,8
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2016;6
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2017;5
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Variación % 2017/2016;-16,7
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2016;17
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2017;13
